TIME,TOTAL_CPU,GET //192.168.165.219:8080/openmrs/ws/rest/v1/person?q=,GET //192.168.165.219:8080/openmrs/ws/rest/v1/person,GET //192.168.165.219:8080/openmrs/ws/rest/v1/encounter?patient=,GET //192.168.165.219:8080/openmrs/ws/rest/v1/concept?q=,GET //192.168.165.219:8080/openmrs/ws/rest/v1/obs?patient=,POST //192.168.165.219:8080/openmrs/ws/rest/v1/person,GET //192.168.165.219:8080/openmrs/ws/rest/v1/encountertype?q=,DELETE //192.168.165.219:8080/openmrs/ws/rest/v1/person
2019-09-27 23:23:39+00:00,51.88,14,3,2,13,4,11,5,5
2019-09-27 23:24:09+00:00,58.85,11,12,5,21,6,14,7,3
2019-09-27 23:24:39+00:00,69.99,61,59,41,33,21,58,55,8
2019-09-27 23:25:09+00:00,50.73,4,5,4,3,3,3,4,1
2019-09-27 23:25:39+00:00,50.24,4,0,3,1,1,5,3,0
2019-09-27 23:26:09+00:00,49.86,2,3,4,2,0,3,5,1
2019-09-27 23:26:39+00:00,49.33,5,2,1,3,1,4,6,1
2019-09-27 23:27:09+00:00,49.16,0,2,1,0,3,1,3,0
2019-09-27 23:27:39+00:00,49.1,1,3,3,1,2,2,4,1
2019-09-27 23:28:09+00:00,49.58,1,6,3,2,1,3,2,0
2019-09-27 23:28:39+00:00,49.56,4,0,1,2,1,1,3,0
2019-09-27 23:29:09+00:00,49.39,4,1,0,1,1,3,2,0
2019-09-27 23:29:39+00:00,50.21,8,3,11,11,2,6,11,5
2019-09-27 23:30:09+00:00,73.37,22,8,11,17,1,13,20,11
2019-09-27 23:30:39+00:00,55.67,45,73,38,62,22,84,31,21
2019-09-27 23:31:09+00:00,53.67,7,7,9,17,1,9,10,11
2019-09-27 23:31:39+00:00,53.33,6,3,4,14,0,7,10,10
2019-09-27 23:32:09+00:00,53.63,7,8,2,16,3,13,15,4
2019-09-27 23:32:39+00:00,53.63,9,9,8,19,1,20,8,5
2019-09-27 23:33:09+00:00,53.25,6,4,5,14,0,8,7,11
2019-09-27 23:33:39+00:00,54.58,8,4,4,20,1,16,17,7
2019-09-27 23:34:09+00:00,55.27,3,7,2,16,1,9,19,3
2019-09-27 23:34:39+00:00,73.13,12,13,13,46,1,40,22,17
2019-09-27 23:35:09+00:00,82.0,16,34,18,81,10,49,49,17
2019-09-27 23:35:39+00:00,79.35,25,21,14,28,13,34,13,12
2019-09-27 23:36:09+00:00,66.07,40,38,40,58,27,66,49,12
2019-09-27 23:36:39+00:00,55.59,10,2,7,27,3,11,12,15
2019-09-27 23:37:09+00:00,55.03,8,7,6,19,3,10,15,10
2019-09-27 23:37:39+00:00,55.64,10,3,2,16,2,17,12,4
2019-09-27 23:38:09+00:00,55.55,8,5,7,16,2,16,18,6
2019-09-27 23:38:39+00:00,76.01,25,7,14,66,9,41,54,29
2019-09-27 23:39:09+00:00,85.23,42,19,39,102,22,95,81,35
2019-09-27 23:39:39+00:00,85.62,37,23,23,98,28,74,84,48
2019-09-27 23:40:09+00:00,84.02,38,23,36,86,31,120,98,66
2019-09-27 23:40:39+00:00,88.57,21,16,18,41,9,54,46,29
2019-09-27 23:41:09+00:00,74.14,24,17,20,26,17,41,5,8
2019-09-27 23:41:39+00:00,55.8,29,23,16,24,16,29,11,1
2019-09-27 23:42:09+00:00,54.54,6,12,4,6,3,4,0,3
2019-09-27 23:42:39+00:00,53.14,6,3,2,5,6,4,2,1
2019-09-27 23:43:09+00:00,53.22,9,12,2,3,5,11,1,0
2019-09-27 23:43:39+00:00,53.67,7,5,0,10,4,6,0,1
2019-09-27 23:44:09+00:00,51.98,4,6,5,7,4,9,1,0
2019-09-27 23:44:39+00:00,52.7,10,9,0,4,4,1,1,0
2019-09-27 23:45:09+00:00,51.46,8,8,3,8,4,6,1,2
2019-09-27 23:45:39+00:00,51.79,3,0,4,11,0,1,2,4
2019-09-27 23:46:09+00:00,51.4,8,10,11,24,8,12,4,13
2019-09-27 23:46:39+00:00,51.94,19,15,12,29,7,18,14,11
2019-09-27 23:47:09+00:00,52.85,9,11,2,26,5,9,9,11
2019-09-27 23:47:39+00:00,56.14,10,11,10,8,11,7,22,0
2019-09-27 23:48:09+00:00,53.61,17,15,5,10,5,6,22,0
2019-09-27 23:48:39+00:00,52.66,7,2,2,2,1,5,27,0
2019-09-27 23:49:09+00:00,51.28,15,2,8,10,1,9,39,0
2019-09-27 23:49:39+00:00,51.66,24,4,16,5,3,11,41,3
2019-09-27 23:50:09+00:00,52.57,19,1,12,4,2,9,25,4
2019-09-27 23:50:39+00:00,53.03,17,2,10,8,1,6,29,8
2019-09-27 23:51:09+00:00,53.31,27,24,19,23,15,20,20,6
2019-09-27 23:51:39+00:00,51.13,14,10,9,8,7,12,3,1
2019-09-27 23:52:09+00:00,50.65,9,9,2,3,4,6,3,0
2019-09-27 23:52:39+00:00,49.74,12,12,4,6,4,12,1,0
2019-09-27 23:53:09+00:00,50.38,7,4,1,9,2,8,1,0
2019-09-27 23:53:39+00:00,50.44,4,2,3,2,0,3,2,0
2019-09-27 23:54:09+00:00,51.43,4,8,4,3,7,5,1,1
2019-09-27 23:54:39+00:00,51.66,9,8,10,10,4,10,6,3
2019-09-27 23:55:09+00:00,51.82,8,3,10,11,1,16,4,4
2019-09-27 23:55:39+00:00,52.09,7,4,8,4,5,11,3,2
2019-09-27 23:56:09+00:00,51.9,3,3,7,10,3,7,1,4
2019-09-27 23:56:39+00:00,51.84,13,9,5,11,3,6,4,2
2019-09-27 23:57:09+00:00,53.38,9,6,9,10,4,11,3,12
2019-09-27 23:57:39+00:00,52.86,15,8,6,16,2,15,4,11
2019-09-27 23:58:09+00:00,52.8,0,0,0,0,0,0,0,0
2019-09-27 23:58:39+00:00,53.5,0,0,0,0,0,0,0,0
2019-09-27 23:59:09+00:00,56.18,0,0,0,0,0,0,0,0
2019-09-27 23:59:39+00:00,50.98,50,30,23,39,26,49,14,5
2019-09-28 00:00:09+00:00,42.07,6,5,3,6,8,17,2,3
2019-09-28 00:00:39+00:00,50.27,3,5,2,2,1,7,1,1
2019-09-28 00:01:09+00:00,51.12,7,9,1,2,6,4,5,1
2019-09-28 00:01:39+00:00,50.62,5,4,1,4,3,7,1,0
2019-09-28 00:02:09+00:00,50.62,5,6,5,2,3,1,2,0
2019-09-28 00:02:39+00:00,49.86,7,7,6,10,4,15,3,2
2019-09-28 00:03:09+00:00,49.98,5,4,1,8,2,5,0,0
2019-09-28 00:03:39+00:00,49.97,2,7,2,6,0,8,2,7
2019-09-28 00:04:09+00:00,49.55,2,4,3,3,2,9,3,4
2019-09-28 00:04:39+00:00,49.35,1,5,2,5,1,1,3,9
2019-09-28 00:05:09+00:00,49.88,5,6,3,8,2,8,4,20
2019-09-28 00:05:39+00:00,50.73,3,5,4,10,1,10,5,8
2019-09-28 00:06:09+00:00,52.79,2,2,1,7,1,7,1,4
2019-09-28 00:06:39+00:00,61.65,1,1,0,0,0,0,0,0
2019-09-28 00:07:09+00:00,40.47,40,45,24,36,27,56,18,8
2019-09-28 00:07:39+00:00,50.94,2,5,2,0,2,2,3,0
2019-09-28 00:08:09+00:00,51.38,2,3,2,3,2,7,1,0
2019-09-28 00:08:39+00:00,51.08,2,4,3,2,2,6,1,1
2019-09-28 00:09:09+00:00,50.66,3,0,3,4,1,3,0,0
2019-09-28 00:09:39+00:00,50.09,3,7,0,1,0,1,2,0
2019-09-28 00:10:09+00:00,50.01,0,0,2,0,2,1,0,0
2019-09-28 00:10:39+00:00,50.41,12,5,1,2,2,1,4,0
2019-09-28 00:11:09+00:00,51.88,2,6,1,2,3,5,3,0
2019-09-28 00:11:39+00:00,51.47,6,6,2,9,1,5,5,2
2019-09-28 00:12:09+00:00,51.68,8,10,4,8,2,6,4,5
2019-09-28 00:12:39+00:00,51.78,3,6,2,10,0,4,1,1
2019-09-28 00:13:09+00:00,51.3,4,4,7,9,3,7,1,6
2019-09-28 00:13:39+00:00,51.88,5,2,2,9,3,9,1,3
2019-09-28 00:14:09+00:00,51.68,0,0,0,0,0,0,0,0
2019-09-28 00:14:39+00:00,50.72,0,0,0,0,0,0,0,0
2019-09-28 00:15:09+00:00,59.99,9,5,3,1,2,4,1,0
2019-09-28 00:15:39+00:00,48.78,46,56,21,82,27,80,7,13
2019-09-28 00:16:09+00:00,53.25,9,7,4,12,3,10,0,1
2019-09-28 00:16:39+00:00,54.72,3,1,6,9,3,6,1,6
2019-09-28 00:17:09+00:00,68.36,16,17,5,73,6,39,8,32
2019-09-28 00:17:39+00:00,88.62,18,15,5,91,9,66,42,16
2019-09-28 00:18:09+00:00,87.68,16,17,2,117,18,89,56,33
2019-09-28 00:18:39+00:00,81.77,20,17,9,91,19,63,43,17
2019-09-28 00:19:09+00:00,86.81,19,20,9,108,23,104,69,43
2019-09-28 00:19:39+00:00,82.78,10,16,8,63,15,64,49,27
2019-09-28 00:20:09+00:00,86.88,24,35,16,100,22,126,68,57
2019-09-28 00:20:39+00:00,74.53,41,47,21,18,22,33,27,2
2019-09-28 00:21:09+00:00,52.88,9,12,4,6,4,10,6,0
2019-09-28 00:21:39+00:00,53.18,6,13,7,5,9,7,12,0
2019-09-28 00:22:09+00:00,52.52,7,1,5,7,2,13,19,0
2019-09-28 00:22:39+00:00,52.83,17,2,8,11,2,11,14,10
2019-09-28 00:23:09+00:00,52.92,7,9,8,5,3,17,4,0
2019-09-28 00:23:39+00:00,53.05,8,7,3,4,3,9,4,1
2019-09-28 00:24:09+00:00,51.88,6,5,1,0,3,6,2,0
2019-09-28 00:24:39+00:00,51.18,4,5,4,1,2,1,3,0
2019-09-28 00:25:09+00:00,51.3,8,5,5,4,1,4,3,1
2019-09-28 00:25:39+00:00,51.54,9,3,3,5,4,9,8,1
2019-09-28 00:26:09+00:00,53.0,10,9,7,7,5,12,3,0
2019-09-28 00:26:39+00:00,52.16,8,8,7,4,6,9,5,2
2019-09-28 00:27:09+00:00,53.09,7,3,7,11,2,10,23,9
2019-09-28 00:27:39+00:00,53.42,13,8,10,15,5,19,19,12
2019-09-28 00:28:09+00:00,54.8,17,12,7,9,1,11,7,12
2019-09-28 00:28:39+00:00,61.06,1,2,0,13,0,8,0,4
2019-09-28 00:29:09+00:00,63.94,41,20,11,23,12,35,9,9
2019-09-28 00:29:39+00:00,40.52,27,21,14,16,11,26,17,6
2019-09-28 00:30:09+00:00,53.66,6,3,4,6,1,4,2,0
2019-09-28 00:30:39+00:00,52.81,5,6,5,4,2,6,3,0
2019-09-28 00:31:09+00:00,52.8,5,3,2,7,3,7,1,2
2019-09-28 00:31:39+00:00,51.78,7,3,4,3,3,2,5,3
2019-09-28 00:32:09+00:00,51.73,7,10,6,11,4,9,8,2
2019-09-28 00:32:39+00:00,52.2,9,1,4,7,2,4,7,6
2019-09-28 00:33:09+00:00,52.96,9,5,5,8,4,11,8,8
2019-09-28 00:33:39+00:00,53.27,7,3,6,13,1,8,7,5
2019-09-28 00:34:09+00:00,52.62,16,7,8,32,6,20,14,8
2019-09-28 00:34:39+00:00,54.21,9,9,8,20,3,16,16,9
2019-09-28 00:35:09+00:00,56.07,0,0,0,0,0,0,0,0
2019-09-28 00:35:39+00:00,60.67,24,23,10,16,13,25,4,5
2019-09-28 00:36:09+00:00,43.34,23,17,12,13,16,34,6,3
2019-09-28 00:36:39+00:00,52.12,4,8,2,4,1,7,1,0
2019-09-28 00:37:09+00:00,51.46,2,5,1,5,1,3,1,0
2019-09-28 00:37:39+00:00,50.72,6,11,2,11,5,9,4,1
2019-09-28 00:38:09+00:00,49.87,8,13,4,5,2,9,4,2
2019-09-28 00:38:39+00:00,50.73,1,1,1,2,1,2,2,1
2019-09-28 00:39:09+00:00,50.47,5,3,2,7,5,8,1,0
2019-09-28 00:39:39+00:00,50.9,5,0,2,5,2,4,3,0
2019-09-28 00:40:09+00:00,50.98,5,6,3,1,5,4,2,0
2019-09-28 00:40:39+00:00,51.25,4,2,1,5,2,2,2,0
2019-09-28 00:41:09+00:00,51.23,8,2,3,4,4,2,1,0
2019-09-28 00:41:39+00:00,50.87,4,0,1,5,0,0,0,1
2019-09-28 00:42:09+00:00,50.55,1,8,1,7,3,5,3,0
2019-09-28 00:42:39+00:00,50.51,5,3,1,2,0,4,1,2
2019-09-28 00:43:09+00:00,51.02,4,3,2,2,0,9,4,6
2019-09-28 00:43:39+00:00,50.8,8,12,2,16,3,9,9,7
2019-09-28 00:44:09+00:00,51.82,7,9,4,17,4,12,10,14
2019-09-28 00:44:39+00:00,51.68,10,5,10,10,4,7,5,9
2019-09-28 00:45:09+00:00,51.38,0,0,0,0,0,0,0,0
2019-09-28 00:45:39+00:00,55.68,0,0,0,0,0,0,0,0
2019-09-28 00:46:09+00:00,43.39,27,30,9,8,9,26,16,0
2019-09-28 00:46:39+00:00,50.22,14,12,7,9,3,12,6,0
2019-09-28 00:47:09+00:00,50.86,5,5,2,1,4,4,4,0
2019-09-28 00:47:39+00:00,50.23,1,5,2,1,2,1,3,0
2019-09-28 00:48:09+00:00,50.08,2,2,1,1,2,0,0,0
2019-09-28 00:48:39+00:00,49.66,1,3,3,3,1,3,6,2
2019-09-28 00:49:09+00:00,50.05,5,2,1,4,1,4,3,3
2019-09-28 00:49:39+00:00,49.96,3,2,3,5,4,11,6,4
2019-09-28 00:50:09+00:00,50.56,3,1,2,4,6,3,5,2
2019-09-28 00:50:39+00:00,51.12,9,2,4,2,2,4,12,2
2019-09-28 00:51:09+00:00,51.72,5,4,8,14,3,4,22,4
2019-09-28 00:51:39+00:00,51.14,10,2,4,6,2,5,8,4
2019-09-28 00:52:09+00:00,53.5,2,1,3,1,2,4,1,0
2019-09-28 00:52:39+00:00,54.35,29,25,11,9,14,37,8,0
2019-09-28 00:53:09+00:00,53.92,2,2,0,1,0,1,0,2
2019-09-28 00:53:39+00:00,51.84,4,3,0,2,0,4,0,1
2019-09-28 00:54:09+00:00,51.03,2,3,0,3,1,3,0,3
2019-09-28 00:54:39+00:00,50.91,9,3,1,3,2,7,1,2
2019-09-28 00:55:09+00:00,50.65,4,4,0,2,0,4,0,0
2019-09-28 00:55:39+00:00,51.73,13,8,3,7,2,13,3,9
2019-09-28 00:56:09+00:00,52.65,16,10,0,7,1,22,4,27
2019-09-28 00:56:39+00:00,52.25,12,14,7,18,5,28,0,10
2019-09-28 00:57:09+00:00,54.46,10,14,3,6,1,11,0,2
2019-09-28 00:57:39+00:00,55.52,4,8,1,5,5,9,1,0
2019-09-28 00:58:09+00:00,58.47,19,13,12,10,7,22,4,5
2019-09-28 00:58:39+00:00,52.53,5,8,5,12,6,17,2,9
2019-09-28 00:59:09+00:00,54.03,10,19,12,20,10,10,8,2
2019-09-28 00:59:39+00:00,53.23,11,17,6,5,3,5,12,1
2019-09-28 01:00:09+00:00,51.4,8,11,3,7,2,5,10,0
2019-09-28 01:00:39+00:00,51.7,7,11,4,3,6,2,6,0
2019-09-28 01:01:09+00:00,51.18,4,3,0,5,1,4,4,0
2019-09-28 01:01:39+00:00,51.04,7,6,2,3,5,6,4,0
2019-09-28 01:02:09+00:00,51.05,7,3,2,6,3,8,5,2
2019-09-28 01:02:39+00:00,51.29,5,4,3,19,6,8,5,9
2019-09-28 01:03:09+00:00,51.91,7,4,6,16,4,13,9,12
2019-09-28 01:03:39+00:00,52.8,17,1,15,15,12,17,39,6
2019-09-28 01:04:09+00:00,52.38,11,2,9,5,3,9,32,5
2019-09-28 01:04:39+00:00,72.25,12,12,6,15,7,25,5,7
2019-09-28 01:05:09+00:00,72.65,60,69,17,56,26,72,22,32
2019-09-28 01:05:39+00:00,53.88,4,2,2,3,5,3,4,0
2019-09-28 01:06:09+00:00,52.41,7,8,2,4,3,5,3,0
2019-09-28 01:06:39+00:00,52.43,5,4,7,6,3,6,1,0
2019-09-28 01:07:09+00:00,51.96,6,4,3,6,5,5,7,0
2019-09-28 01:07:39+00:00,51.61,6,5,4,14,5,12,5,3
2019-09-28 01:08:09+00:00,52.7,10,4,6,21,4,19,19,14
2019-09-28 01:08:39+00:00,53.56,15,7,6,23,7,20,14,11
2019-09-28 01:09:09+00:00,54.3,5,9,4,27,4,14,9,15
2019-09-28 01:09:39+00:00,54.61,18,4,4,20,4,14,10,15
2019-09-28 01:10:09+00:00,55.49,7,1,5,15,3,14,12,5
2019-09-28 01:10:39+00:00,55.97,6,2,4,13,6,5,9,1
2019-09-28 01:11:09+00:00,67.76,0,0,0,0,0,0,0,0
2019-09-28 01:11:39+00:00,43.41,47,44,17,33,19,55,21,5
2019-09-28 01:12:09+00:00,51.06,7,6,2,5,1,6,1,0
2019-09-28 01:12:39+00:00,52.57,7,8,6,3,1,3,1,0
2019-09-28 01:13:09+00:00,51.75,10,8,3,6,4,10,3,0
2019-09-28 01:13:39+00:00,52.15,8,12,5,6,3,10,7,0
2019-09-28 01:14:09+00:00,52.52,7,4,4,5,3,5,2,0
2019-09-28 01:14:39+00:00,52.38,5,5,3,9,4,7,2,0
2019-09-28 01:15:09+00:00,52.73,5,11,6,10,7,10,5,0
2019-09-28 01:15:39+00:00,52.34,4,3,1,2,1,1,3,0
2019-09-28 01:16:09+00:00,51.79,0,4,3,3,3,3,2,0
2019-09-28 01:16:39+00:00,51.56,4,6,4,2,2,2,2,0
2019-09-28 01:17:09+00:00,51.8,4,0,4,3,2,9,3,5
2019-09-28 01:17:39+00:00,51.55,4,6,2,8,3,8,5,3
2019-09-28 01:18:09+00:00,51.5,9,8,8,14,4,13,9,9
2019-09-28 01:18:39+00:00,51.3,10,9,3,14,2,15,11,9
2019-09-28 01:19:09+00:00,51.45,7,3,4,15,3,14,4,9
2019-09-28 01:19:39+00:00,53.62,6,0,1,11,2,5,7,4
2019-09-28 01:20:09+00:00,58.71,0,0,0,0,0,0,0,0
2019-09-28 01:20:39+00:00,48.48,0,0,0,0,0,0,0,0
2019-09-28 01:21:09+00:00,41.89,40,54,29,48,32,56,15,13
2019-09-28 01:21:39+00:00,53.55,9,3,1,4,2,5,3,0
2019-09-28 01:22:09+00:00,53.35,2,9,3,4,2,6,5,0
2019-09-28 01:22:39+00:00,52.72,7,7,6,6,8,7,4,2
2019-09-28 01:23:09+00:00,51.81,8,1,1,12,3,12,4,3
2019-09-28 01:23:39+00:00,51.84,3,2,5,6,3,10,2,4
2019-09-28 01:24:09+00:00,51.59,2,7,1,15,1,6,5,4
2019-09-28 01:24:39+00:00,51.44,10,4,6,16,3,11,6,10
2019-09-28 01:25:09+00:00,51.5,5,10,5,16,5,9,5,9
2019-09-28 01:25:39+00:00,51.2,3,1,3,9,1,10,3,8
2019-09-28 01:26:09+00:00,53.38,6,0,8,17,6,18,2,2
2019-09-28 01:26:39+00:00,53.15,5,1,7,9,1,9,7,6
2019-09-28 01:27:09+00:00,54.52,0,0,0,0,0,0,0,0
2019-09-28 01:27:39+00:00,52.95,0,0,0,0,0,0,0,0
2019-09-28 01:28:09+00:00,55.77,0,0,0,0,0,0,0,0
2019-09-28 01:28:39+00:00,54.04,0,0,0,0,0,0,0,0
2019-09-28 01:29:09+00:00,45.33,47,62,19,43,20,55,5,9
2019-09-28 01:29:39+00:00,51.52,4,4,4,4,0,3,1,1
2019-09-28 01:30:09+00:00,50.85,4,4,4,4,5,3,1,1
2019-09-28 01:30:39+00:00,50.37,3,2,2,1,1,1,1,0
2019-09-28 01:31:09+00:00,50.05,5,6,3,1,3,4,2,0
2019-09-28 01:31:39+00:00,50.66,5,3,0,6,1,3,0,0
2019-09-28 01:32:09+00:00,49.61,8,2,4,5,0,8,3,0
2019-09-28 01:32:39+00:00,49.77,8,8,6,4,4,13,1,0
2019-09-28 01:33:09+00:00,50.64,4,3,2,2,0,3,0,0
2019-09-28 01:33:39+00:00,51.0,2,3,6,4,0,7,1,0
2019-09-28 01:34:09+00:00,52.37,6,4,4,7,3,11,2,0
2019-09-28 01:34:39+00:00,51.64,5,4,2,4,4,9,0,1
2019-09-28 01:35:09+00:00,52.47,3,10,3,7,2,9,0,2
2019-09-28 01:35:39+00:00,52.2,8,9,6,12,6,6,3,6
2019-09-28 01:36:09+00:00,52.69,13,12,5,20,3,19,8,4
2019-09-28 01:36:39+00:00,52.16,4,3,0,8,1,5,1,3
2019-09-28 01:37:09+00:00,52.82,0,0,0,0,0,0,0,0
2019-09-28 01:37:39+00:00,60.66,0,0,0,0,0,0,0,0
2019-09-28 01:38:09+00:00,43.97,43,39,27,37,19,52,24,10
2019-09-28 01:38:39+00:00,52.69,4,3,3,5,4,5,2,0
2019-09-28 01:39:09+00:00,51.58,3,4,7,1,4,6,1,0
2019-09-28 01:39:39+00:00,51.31,9,8,3,2,1,6,5,0
2019-09-28 01:40:09+00:00,51.6,5,6,2,4,3,4,4,0
2019-09-28 01:40:39+00:00,51.17,4,3,2,6,4,4,1,0
2019-09-28 01:41:09+00:00,52.25,6,5,4,10,0,4,5,1
2019-09-28 01:41:39+00:00,51.62,1,7,4,5,4,6,4,2
2019-09-28 01:42:09+00:00,51.49,9,6,1,6,5,17,8,3
2019-09-28 01:42:39+00:00,51.68,5,13,7,16,6,17,24,16
